CompanyName,WineNameVintage,StandName,Lond,product_ref,Note,,SONETTO VINTAGE 10.9.12,SUPPLIER VINTAGE,DAVENTRY VINT CHECK 14.6.12,STOCK 24.8.12,920 Stock 02/08/2012,"On Order
As at 02.08.12",,f10,Stock in Brackmills,Stock on order,FAIR VINTAGE,P9 Promotion,"P9 Was
MB Price","P9 Now
MB Price",P9 Start Date,P9 End Date,"Web Bottle Price
XX.XX.11",New Listing Y_N,On Prom Y_N,Wine By the Case EXC,STILL_ SPK,ORGANIC_ FAIR TRADE_ VEGETARIAN,PRODUCER,COUNTRY,REGION,GRAPE 1,GRAPE 2,GRAPE 3,EXCLUSIVES TO MAIN ESTATE,NORMAL TESCO IN STORE RSP (From CUBE),NORMAL TESCO IN STORE RSP (From P9 Prom),AVAILABLE INSTORE (Y/N),TWC Normal Bott Price,TWC Price / (5%) or Prom Price,TWCF Show Bot Price (15%),TWCF Show Case Price (15%),Jay Was (Hide),Jay Was Roundown,Jay Now (Hide),Jay Now Rounddown,Jay Case,Stock 07/09/2012,Stock 10/09/2012,Case Size,Number of Fairs,ROS per Fair,Total Fair ROS,% Top Up,Min Cs Stk Required,Total Stk Value Required,Stock as of Wed 02_09 AM,Var to Min Req,Karla's Comments,Brandbank EAN _ Image URL,Brandbank Image Live,Brandbank Comment,Finest,NFS 17/10/2011,Stock 7:01 17.10.11,BWS Stock 17.10.11,BWS Held 17.10.11,BWS Orders 17.10.11,,Stock 7:01 19.10.11,BWS Stock 19.10.11,BWS Held 19.10.11,BWS Orders 19.10.11,Nick Exclusive Report,NFS,,
Off-Piste Wines,The Garden Route Chenin Blanc 2011,Off-Piste Wines,L15,70621898,,The Garden Route Chenin Blanc,2011,2011,2011,786,350,0,http://www.tesco.com/wine/product/details/default.aspx?searchBox=070621898&id=271247057,,,,,70621898,7.99,6,BWS 9&10 5TH SEP - 30TH OCT,,,,x,,,,Riebeek Cellars,South Africa,Western Cape,Chenin Blanc,,,#N/A,7.99,7.99,,£7.99 ,£6.00 ,£5.10 ,£30.60 ,7.99,7.99,4.5,4.5,27,118.5,233,6,5,,,,,,,,,,,,,,,,,,,,,,,#N/A,0,,
Off-Piste Wines,The Garden Route Shiraz 2011,Off-Piste Wines,L15,70593112,,The Garden Route Shiraz,2011,2011,2011,870,528,0,http://www.tesco.com/wine/product/details/default.aspx?searchBox=070593112&id=271189718,,,,,70593112,7.99,6,09/03/2012,10/02/2012,,,x,,,,Riebeek Cellars,South Africa,Western Cape,Shiraz,,,#N/A,7.99,7.99,,£7.99 ,£6.00 ,£5.10 ,£30.60 ,7.99,7.99,4.5,4.5,27,189,373,6,5,,,,,,,,,,,,,,,,,,,,,,,#N/A,0,,
Reh Kendermann GmbH Weinkellerei,Black Tower Fruity White 2011,Black Tower,L16,50941388,,Black Tower Fruity White,2011,2011,2011,342,3510,0,http://www.tesco.com/wine/product/details/default.aspx?searchBox=050941388&id=255243120,,,,,,,,,,,,,,,,Reh Kendermann GmbH Weinkellerei,European Union,,,,,#N/A,4.99,,,£4.29 ,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,#N/A,0,,
Reh Kendermann GmbH Weinkellerei,Black Tower Pinot Grigio 2010,Black Tower,L16,58774423,,Black Tower Pinot Grigio,2010,2011,2010,900,1410,0,http://www.tesco.com/wine/product/details/default.aspx?searchBox=058774423&id=260064819,,,,,,,,,,,,,,,,Reh Kendermann GmbH Weinkellerei,Germany,,Silvaner,Pinot Grigio,,#N/A,5.99,,,£5.99 ,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,#N/A,0,,
Reh Kendermann GmbH Weinkellerei,Black Tower Rosé 2012,Black Tower,L16,59066091,,Black Tower Rosé,2012,2011,2012,600,2856,0,http://www.tesco.com/wine/product/details/default.aspx?searchBox=059066091&id=260366825,,,,,59066091,5.99,4.49,09/03/2012,10/02/2012,,,,,,,Reh Kendermann GmbH Weinkellerei,European Union,,,,,#N/A,5.99,5.99,,£4.48 ,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,#N/A,0,,
Reh Kendermann GmbH Weinkellerei,Weight Watchers Fruity White Wine 2010,Black Tower,L16,58670004,,Weight Watchers Fruity White Wine,2010,2011,2010,828,622,0,http://www.tesco.com/wine/product/details/default.aspx?searchBox=058670004&id=257452036,,,,,,,,,,,,,,,,Reh Kendermann GmbH Weinkellerei,Germany,,,,,#N/A,5.99,,,£4.98 ,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,#N/A,0,,
Reh Kendermann GmbH Weinkellerei,Weight Watchers Refreshing Rosé Wine 2010,Black Tower,L16,57824332,,Weight Watchers Refreshing Rosé Wine,2011,2011,2010,456,445,0,http://www.tesco.com/wine/product/details/default.aspx?searchBox=057824332&id=255889231,,,,,,,,,,,,,,,,Reh Kendermann GmbH Weinkellerei,Germany,,,,,#N/A,5.99,,,£5.89 ,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,#N/A,0,,
Liberty Wines,Domaine de Bel Air Cuvee des Acoins Pouilly Fume 2011,Liberty Wines,L17,70943718,,Domaine de Bel Air Cuvee des Acoins Pouilly Fume,2011,2011,2011,60,72,0,http://www.tesco.com/wine/product/details/default.aspx?searchBox=070943718&id=271910522,,,,,,,,,,,,,,,,Domaine de Bel Air,France,Loire,Sauvignon Blanc,,,#N/A,14.99,,,£14.99 ,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,70943718,0,,
Liberty Wines,Plantagenet The Lioness Pinot Noir  2010,Liberty Wines,L17,71303110,,Plantagenet The Lioness Pinot Noir ,2010,2010,2010,2370,-10,0,http://www.tesco.com/wine/product/details/default.aspx?searchBox=071303110&id=272666890,,,,,,,,,,,,,,,,Plantagenet ,Australia,Western Australia,Pinot Noir,,,#N/A,12.99,,,£12.99 ,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,#N/A,0,,
Liberty Wines,Steam Wharf Road Syrah  2008,Liberty Wines,L17,68023854,,Steam Wharf Road Syrah ,2008,2008,2008,534,,,http://www.tesco.com/wine/product/details/default.aspx?searchBox=068023854&id=268773123,,,,,,,,,,,,,,,,Vesevo,Italy,Campania,Greco,,,#N/A,14.99,,,£12.99 ,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,#N/A,0,,
Liberty Wines,Tesco Finest* Albariño 2011,Liberty Wines,L17,61304090,,Tesco Finest*  Albariño,2011,2011,2011,96,-17,0,http://www.tesco.com/wine/product/details/default.aspx?searchBox=061304090&id=262557389,,,,,61304090,7.99,7,09/03/2012,10/02/2012,,,,,,,Bodegas Martin Codax,Spain,Galicia,Albari–o,,,#N/A,7.99,,,£7.99 ,£7.00 ,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,#N/A,0,,
Liberty Wines,Viña Chocalan Reserva Cabernet Franc 2010,Liberty Wines,L17,71313743,,Viña Chocalan Reserva Cabernet Franc,2010,2010,2010,666,-110,0,http://www.tesco.com/wine/product/details/default.aspx?searchBox=071313743&id=272694118,,,,,,,,,,,,,,,,Vina Chocalan,Chile,Maipo,Cabernet Franc,,,#N/A,11.99,,,£11.99 ,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,#N/A,0,,
Liberty Wines,Willunga 100 The Olive Branch Cabernet Shiraz 2010,Liberty Wines,L17,71313674,,Willunga 100 The Olive Branch Cabernet Shiraz,2010,2010,2010,1236,-141,0,http://www.tesco.com/wine/product/details/default.aspx?searchBox=071313674&id=272693954,,,,,,,,,,,,,,,,Willunga 100,Australia,South Australia,Cabernet Sauvignon,Shiraz,,#N/A,11.99,,,£11.99 ,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,#N/A,0,,
Hatch Mansfield,Thornbury Waipara Riesling 2008,Villa Maria,L18,68023756,,Thornbury Waipara Riesling,2008,2011,2008,972,244,0,http://www.tesco.com/wine/product/details/default.aspx?searchBox=068023756&id=268773025,,,,,,,,,,,,,,,,Thornbury,New Zealand,Wairarapa,Riesling,,,#N/A,10.99,,,£10.99 ,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,#N/A,0,,
Hatch Mansfield,Villa Maria Cellar Selection Pinot Noir 2009,Villa Maria,L18,61006448,,Villa Maria Cellar Selection Pinot Noir,2009,20089,2009,2268,259,0,http://www.tesco.com/wine/product/details/default.aspx?searchBox=061006448&id=262253230,,,,,,,,,,,,,Listed in dot com will be in store,,,Villa Maria,New Zealand,Marlborough,Pinot Noir,,,#N/A,0,,,£14.99 ,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,61006448,0,,
Hatch Mansfield,Villa Maria Private Bin Chardonnay  2011,Villa Maria,L18,61003394,,Villa Maria Private Bin Chardonnay ,2011,201112,2011,738,8567,0,http://www.tesco.com/wine/product/details/default.aspx?searchBox=061003394&id=262250106,,,,,,,,,,,,,,,,Villa Maria,New Zealand,East Coast,Chardonnay,,,#N/A,9.99,,,£9.99 ,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,#N/A,0,,
Hatch Mansfield,Villa Maria Private Bin Rosé 2011,Villa Maria,L18,60976579,,Villa Maria Private Bin Rosé,2011,2011,2011,1044,1779,0,http://www.tesco.com/wine/product/details/default.aspx?searchBox=060976579&id=262222532,,,,,,,,,,,,,,,,Villa Maria,New Zealand,East Coast,Sauvignon Blanc,Riesling,Malbec,#N/A,9.99,,,£9.99 ,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,#N/A,0,,
Hatch Mansfield,Villa Maria Private Bin Sauvignon Blanc  2012,Villa Maria,L18,52429439,,Villa Maria Private Bin Sauvignon Blanc ,2012,201112,2012,7698,-550,0,http://www.tesco.com/wine/product/details/default.aspx?searchBox=052429439&id=251182290,,,,,,,,,,,,,,,,Villa Maria,New Zealand,Marlborough,Sauvignon Blanc,,,#N/A,9.99,,,£9.99 ,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,#N/A,0,,
Hatch Mansfield,Villa Maria Reserve Pinot Noir 2009,Villa Maria,L18,63142369,,Villa Maria Reserve Pinot Noir,2009,200910,2009,138,23,0,http://www.tesco.com/wine/product/details/default.aspx?searchBox=063142369&id=259631236,,,,,,,,,,,,,,,,Villa Maria,New Zealand,Marlborough,Pinot Noir,,,#N/A,17.29,,,£17.49 ,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,#N/A,0,,
Hatch Mansfield,Contino Reserva Rioja 2006,"Taittinger, Louis Jadot, Errazuriz",L19,70701971,,Contino Reserva Rioja,2006,20056,2006,798,110,0,http://www.tesco.com/wine/product/details/default.aspx?searchBox=070701971&id=271421260,,,,,,,,,,,,,,,,Contino,Spain,Rioja,Tempranillo,Graciano,Mazuelo,#N/A,20.99,,,£20.49 ,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,#N/A,0,,
Hatch Mansfield,Errázuriz Estate Merlot  2010,"Taittinger, Louis Jadot, Errazuriz",L19,52060747,,Errázuriz Estate Merlot ,2010,201011,2010,612,2933,0,http://www.tesco.com/wine/product/details/default.aspx?searchBox=052060747&id=251277604,,,,,52060747,8.79,6.99,09/03/2012,10/02/2012,,,,,,,Vina Errázuriz,Chile,Aconcagua,Merlot,,,#N/A,8.79,9.99,,£8.79 ,£5.79 ,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,#N/A,0,,
Hatch Mansfield,Errázuriz Unoaked Chardonnay 2011,"Taittinger, Louis Jadot, Errazuriz",L19,66304976,,Errázuriz Unoaked Chardonnay,2011,201112,2011,504,3503,0,http://www.tesco.com/wine/product/details/default.aspx?searchBox=066304976&id=267006809,,,,,66304976,9.99,6.99,NOT USED,,,,,,,,Vina Errázuriz,Chile,,Chardonnay,,,#N/A,8.79,9.99,,£8.79 ,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,#N/A,1,,
Hatch Mansfield,Louis Jadot Beaujolais Villages 2010,"Taittinger, Louis Jadot, Errazuriz",L19,54186359,,Louis Jadot Beaujolais Villages,2010,201011,2010,816,288,0,http://www.tesco.com/wine/product/details/default.aspx?searchBox=054186359&id=252285938,,,,,,,,,,,,,,,,Louis Jadot,France,Burgundy,Gamay,,,#N/A,10.49,,,£10.49 ,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,#N/A,0,,
Hatch Mansfield,Louis Jadot Bourgogne Pinot Noir 2009,"Taittinger, Louis Jadot, Errazuriz",L19,58950704,,Louis Jadot Bourgogne Pinot Noir,2009,200910,2009,438,258,0,http://www.tesco.com/wine/product/details/default.aspx?searchBox=058950704&id=260247892,,,,,,,,,,,,,,,,Louis Jadot,France,Burgundy,Pinot Noir,,,#N/A,10.49,,,£10.49 ,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,#N/A,0,,
Hatch Mansfield,Louis Jadot Fleurie Poncereau 2009/2010,"Taittinger, Louis Jadot, Errazuriz",L19,72082725,,Louis Jadot Fleurie Poncereau,2009,2009,20092010,150,30,226,http://www.tesco.com/wine/product/details/default.aspx?searchBox=072082725&id=274260594,,,,,,,,,,,,,Listed in dot com will be in store,,,Louis Jadot,France,Burgundy,Gamay,,,2308203,0,,,£14.99 ,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,#N/A,0,,
Tesco Wine by the case,Glorioso Rioja Reserva 2006,Tesco Wine by the case,L2,66412725,,Glorioso Rioja Reserva,2006,,2006,6456,,0,http://www.tesco.com/wine/product/details/default.aspx?searchBox=066412725&id=267119774,,,,,,,,,,,,,,,,Bodegas Palacio,Spain,Rioja,Tempranillo,,,,,Exclusive to Dot Com,N,£15.00 ,£7.50 ,£6.38 ,£38.25 ,15,15,7.5,7.5,45,416,804,6,,,,,,,,,,,,,,,,,,,,,,,,66412725,0,,j
Tesco Wine by the case,Colpasso Nero d'Avola 2009/10,Tesco Wine by the case,L2,70615641,,Colpasso Nero d'Avola,2009,,20092010,4794,1625,0,http://www.tesco.com/wine/product/details/default.aspx?searchBox=070615641&id=271233753,,,,,,,,,,,,,,,,The Wine People,Italy,Sicily,Nero d'Avola,,,,,Exclusive to Dot Com,N,£12.00 ,£6.00 ,£5.10 ,£30.60 ,12,12,6,6,36,333.5,633,6,,,,,,,,,,,,,,,,,,,,,,,,70615641,0,,jj
Tesco Wine by the case,Château La Rose Videau 2008,Tesco Wine by the case,L2,67544233,,Chateau La Rose Videau,2008,,2008,1812,,,http://www.tesco.com/wine/product/details/default.aspx?searchBox=067544233&id=268279484,,,,,,,,,,,,,,,,SCEV Michel Gonet and Sons,France,Bordeaux,Cabernet Franc,Cabernet Sauvignon,Merlot,,,,,£12.00 ,,£10.20 ,£61.20 ,12,12,9,9,54,142.5,285,6,,,,,,,,,,,,,,,,,,,,,,,,,0,,
Tesco Wine by the case,Antario Barolo 2007,Tesco Wine by the case,L2,70663600,,Antario Barolo,2007,,2007,1452,,0,http://www.tesco.com/wine/product/details/default.aspx?searchBox=070663600&id=271332019,,,,,,,,,,,,,,,,Fratelli Dezzani SRL,Italy,Piedmonte,Nebbiolo,,,,,Exclusive to Dot Com,N,£20.00 ,£15.00 ,£12.75 ,£76.50 ,20,20,15,15,90,48,87,6,,,,,,,,,,,,,,,,,,,,,,,,70663600,0,,
Tesco Wine by the case,Château Leret Monpezat AOC Cahors 2000,Tesco Wine by the case,L2,71151277,,Chateau Leret Monpezat AOC Cahors,2000,,2000,1020,1121,0,http://www.tesco.com/wine/product/details/default.aspx?searchBox=071151277&id=272345763,,,,,,,,,,,,,,,,SCEA Comte Jean-Baptiste de Monpezat,France,South West,Malbec,,,,,Exclusive to Dot Com,N,£20.00 ,£10.00 ,£8.50 ,£51.00 ,20,20,10,10,60,77,152,6,,,,,,,,,,,,,,,,,,,,,,,,71151277,0,,jj
Tesco Wine by the case,Zironda Amarone Della Valpolicella 2008,Tesco Wine by the case,L2,70604314,,Zironda Amarone Della Valpolicella,2008,,2008,2274,,0,http://www.tesco.com/wine/product/details/default.aspx?searchBox=070604314&id=271215533,,,,,,,,,,,,,,,,Mondo del Vino,Italy,Veneto,Corvina,Rondinella,Molinara,,,Exclusive to Dot Com,N,£21.00 ,,£17.85 ,£107.10 ,21,21,15.75,15.75,94.5,89.5,177,6,,,,,,,,,,,,,,,,,,,,,,,,70604314,0,,
Origin Wine Ltd,1907 Fairtrade Mendoza Chardonnay 2010,Fairhills Fairtrade,L20,67737679,,1907 Fairtrade Mendoza Chardonnay,2010,,2010,750,265,280,http://www.tesco.com/wine/product/details/default.aspx?searchBox=067737679&id=268479610,,,,,,,,,,,,,WBTC,,,Mendoza Vineyards S.A.,Argentina,Mendoza,Chardonnay,,,#N/A,10,Exclusive to Dot Com,N,£10.00 ,£7.50 ,£6.38 ,£38.25 ,10,10,7.5,7.5,45,62,124,6,5,,,,,,,,,,,,,,,,,,,,,,,67737679,0,,
Origin Wine Ltd,1962 Fairhills Vineyard Selection Shiraz 2010,Fairhills Fairtrade,L20,67738730,,1962 Fairhills Vineyard Selection Shiraz,2010,,2010,1116,271,560,http://www.tesco.com/wine/product/details/default.aspx?searchBox=067738730&id=268480728,,,,,,,,,,,,,WBTC,,,Home Of Origin Wine,South Africa,Western Cape,Shiraz,,,#N/A,10,Exclusive to Dot Com,N,£10.00 ,£7.50 ,£6.38 ,£38.25 ,10,10,7.5,7.5,45,85,169,6,5,,,,,,,,,,,,,,,,,,,,,,,67738730,0,,
Origin Wine Ltd,Fairhills Fairtrade Fair & Light Fruity Rosé NV,Fairhills Fairtrade,L20,71312082,,Fairhills Fairtrade Fair & Light Fruity Rosé,0,,0,2556,3,0,http://www.tesco.com/wine/product/details/default.aspx?searchBox=071312082&id=272690301,,,,,,,,,,,,x,,,,Home Of Origin Wine,South Africa,,Merlot,,,#N/A,4.99,,,£4.99 ,,£4.24 ,£25.45 ,4.99,4.99,3.7425,3.74,22.44,213,421,6,5,,,,,,,,,,,,,,,,,,,,,,,#N/A,0,,
Origin Wine Ltd,Fairhills Fairtrade Fair & Light Yummy Red NV,Fairhills Fairtrade,L20,71303248,,Fairhills Fairtrade Fair & Light Yummy Red,0,,0,792,985,0,http://www.tesco.com/wine/product/details/default.aspx?searchBox=071303248&id=272667203,,,,,,,,,,,,,,,,Home Of Origin Wine,South Africa,,Shiraz,,,#N/A,4.99,,,£4.99 ,,£4.24 ,£25.45 ,4.99,4.99,3.7425,3.74,22.44,65.5,129,6,5,,,,,,,,,,,,,,,,,,,,,,,#N/A,0,,
Origin Wine Ltd,Fairhills Fairtrade Fair & Light Zesty White NV,Fairhills Fairtrade,L20,71312485,,Fairhills Fairtrade Fair & Light Zesty White,0,,0,816,1800,0,http://www.tesco.com/wine/product/details/default.aspx?searchBox=071312485&id=272691064,,,,,,,,,,,,x,,,,Home Of Origin Wine,South Africa,,Colombard,Sauvignon Blanc,,#N/A,4.99,,,£4.99 ,,£4.24 ,£25.45 ,4.99,4.99,3.7425,3.74,22.44,68,132,6,5,,,,,,,,,,,,,,,,,,,,,,,#N/A,0,,
Origin Wine Ltd,The Apprentice Cabernet Petit Verdot 2011,Fairhills Fairtrade,L20,72381613,,The Apprentice Cabernet Petit Verdot,2011,,2011,2011,,,http://www.tesco.com/wine/product/details/default.aspx?searchBox=072381613&id=274819413,,,,,,,,,,,,,,,,Home Of Origin Wine,South Africa,,Moscato,Pinot Grigio,,#N/A,0,Exclusive to Dot Com,N,£10.00 ,,£8.50 ,£51.00 ,10,10,7.5,7.5,45,0,0,6,4,,,,,,,,,,,,,,,,,,,,,,,72381613,0,,
Centre Vinicole,#N/A NV,Champagne Nicolas Feuillatte,L21,0.220573108,,#N/A,0,0,0,0,,0,#N/A,,,,,,,,,,,,,,,,,,,,,,#N/A,,,,£0.00 ,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,#N/A,0,,
Centre Vinicole,Nicolas Feuillate Millésime Brut Champagne Cuvee Spéciale 2000,Champagne Nicolas Feuillatte,L21,57166091,,Nicolas Feuillate Millésime Brut Champagne Cuvee Spéciale,2000,,2000,0,0,0,#N/A,,,,,,,,,,,,,,,,,,,,,,#N/A,,,,£34.99 ,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,#N/A,1,,
Centre Vinicole,Nicolas Feuillatte Brut Champagne NV,Champagne Nicolas Feuillatte,L21,52182793,,Nicolas Feuillatte Brut Champagne,0,0,0,870,19476,0,http://www.tesco.com/wine/product/details/default.aspx?searchBox=052182793&id=250373296,,,,,52182793,25.99,15.99,09/03/2012,10/02/2012,,,,,,,,,,,,,#N/A,,,,£25.99 ,£15.99 ,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,#N/A,0,,
Oakley Wine Agencies,Tagus Creek Chardonnay-Fernão Pires 2010/2011,Wines of Portugal,L22,60976850,,Tagus Creek Chardonnay-Fernão Pires,2011,2011,2011,330,853,0,http://www.tesco.com/wine/product/details/default.aspx?searchBox=060976850&id=262222872,,,,,,,,,,,,,,,,Falua Sociedade de Vinhos,Portugal,Tejo,Chardonnay,Fernão Pires,,#N/A,5.99,,,£4.50 ,,£3.83 ,£22.95 ,4.5,4.5,3.375,3.37,20.22,95,173,6,3,,,,,,,,,,,,,,,,,,,,,,,#N/A,0,,
Oakley Wine Agencies,Tagus Creek Shiraz-Trincadeira 2010/2011,Wines of Portugal,L22,60976412,,Tagus Creek Shiraz-Trincadeira,2010,2011,2010,468,1292,0,http://www.tesco.com/wine/product/details/default.aspx?searchBox=060976412&id=262222371,,,,,,,,,,,,,,,,Falua Sociedade de Vinhos,Portugal,Alentejo,Shiraz,Trincadeira Preta,,#N/A,5.99,,,£4.50 ,,£3.83 ,£22.95 ,4.5,4.5,3.375,3.37,20.22,11,0,6,3,,,,,,,,,,,,,,,,,,,,,,,#N/A,0,,
Oakley Wine Agencies,Tesco Finest* Douro 2010,Wines of Portugal,L22,67207869,,Tesco Finest*  Douro ,2010,2010,2010,1500,5188,0,http://www.tesco.com/wine/product/details/default.aspx?searchBox=067207869&id=267936136,,,,,67207869,7.49,5,09/03/2012,10/02/2012,,,,,,,Falua Sociedade de Vinhos,Portugal,Douro,Touriga Nacional,Tinta Roriz,Touriga Francesa,#N/A,7.29,7.49,,£7.11 ,£5.00 ,£4.25 ,£25.50 ,7.11,7.11,3.75,3.75,22.5,553,1082,6,3,,,,,,,,,,,,,,,,,,,,,,,#N/A,0,,
Oakley Wine Agencies,Tesco Finest* Touriga Nacional 2010/2011,Wines of Portugal,L22,58558501,,Tesco Finest*  Touriga Nacional,2010,2011,20102011,648,4510,0,http://www.tesco.com/wine/product/details/default.aspx?searchBox=058558501&id=257235795,,,,,,,,,,,,,,,,Falua Sociedade de Vinhos,Portugal,Alentejo,Touriga Nacional,,,#N/A,7.79,,,£7.99 ,,£6.79 ,£40.75 ,7.99,7.99,5.9925,5.99,35.94,49.5,99,6,3,,,,,,,,,,,,,,,,,,,,,,,#N/A,0,,
Oakley Wine Agencies,Tesco Finest* Touriga Nacional Rosé 2010/2011,Wines of Portugal,L22,67153730,,Tesco Finest* Touriga Nacional Rosé,2010,2011,2010,2460,4219,0,http://www.tesco.com/wine/product/details/default.aspx?searchBox=067153730&id=267799388,,,,,,,,,,,,,,,,Falua Sociedade de Vinhos,Portugal,Alentejo,Touriga Nacional,,,#N/A,6.99,,,£6.99 ,,£5.94 ,£35.65 ,6.99,6.99,5.2425,5.24,31.44,194.5,386,6,3,,,,,,,,,,,,,,,,,,,,,,,#N/A,0,,
Oakley Wine Agencies,Tesco Finest* Vinho Verde 2010/2011,Wines of Portugal,L22,67202857,,Tesco Finest* Vinho Verde,2010,2011,20102011,1872,6994,0,http://www.tesco.com/wine/product/details/default.aspx?searchBox=067202857&id=267931111,,,,,67202857,7.29,5,09/03/2012,10/02/2012,,,,,,,Falua Sociedade de Vinhos,Portugal,Vinho Verde,Loureiro,Trajadura,,#N/A,7.29,7.29,,£6.92 ,£5.00 ,£4.25 ,£25.50 ,6.92,6.92,3.75,3.75,22.5,146.5,287,6,3,,,,,,,,,,,,,,,,,,,,,,,#N/A,0,,
Oakley Wine Agencies,Tagus Creek Chardonnay-Fernão Pires 2010,Wines of Portugal,L22,60976850,,Tagus Creek Chardonnay-Fernão Pires,2011,2011,20102011,330,853,0,http://www.tesco.com/wine/product/details/default.aspx?searchBox=060976850&id=262222872,,,,,,,,,,,,,,,,Falua Sociedade de Vinhos,Portugal,Tejo,Chardonnay,Fernão Pires,,#N/A,5.99,,,£4.50 ,,£3.83 ,£22.95 ,4.5,4.5,3.375,3.37,20.22,95,173,6,3,,,,,,,,,,,,,,,,,,,,,,,#N/A,0,,
Oakley Wine Agencies,Tagus Creek Shiraz-Trincadeira 2010,Wines of Portugal,L22,60976412,,Tagus Creek Shiraz-Trincadeira,2010,2011,20102011,468,1292,0,http://www.tesco.com/wine/product/details/default.aspx?searchBox=060976412&id=262222371,,,,,,,,,,,,,,,,Falua Sociedade de Vinhos,Portugal,Alentejo,Shiraz,Trincadeira Preta,,#N/A,5.99,,,£4.50 ,,£3.83 ,£22.95 ,4.5,4.5,3.375,3.37,20.22,11,0,6,3,,,,,,,,,,,,,,,,,,,,,,,#N/A,0,,
Oakley Wine Agencies,Tesco Finest*  Douro  2010,Wines of Portugal,L22,67207869,,Tesco Finest*  Douro ,2010,2010,2010,1500,5188,0,http://www.tesco.com/wine/product/details/default.aspx?searchBox=067207869&id=267936136,,,,,67207869,7.49,5,09/03/2012,10/02/2012,,,,,,,Falua Sociedade de Vinhos,Portugal,Douro,Touriga Nacional,Tinta Roriz,Touriga Francesa,#N/A,7.29,7.49,,£7.11 ,£5.00 ,£4.25 ,£25.50 ,7.11,7.11,3.75,3.75,22.5,553,1082,6,3,,,,,,,,,,,,,,,,,,,,,,,#N/A,0,,
Oakley Wine Agencies,Tesco Finest*  Touriga Nacional 2010,Wines of Portugal,L22,58558501,,Tesco Finest*  Touriga Nacional,2010,2011,2010,648,4510,0,http://www.tesco.com/wine/product/details/default.aspx?searchBox=058558501&id=257235795,,,,,,,,,,,,,,,,Falua Sociedade de Vinhos,Portugal,Alentejo,Touriga Nacional,,,#N/A,7.79,,,£7.99 ,,£6.79 ,£40.75 ,7.99,7.99,5.9925,5.99,35.94,49.5,99,6,3,,,,,,,,,,,,,,,,,,,,,,,#N/A,0,,
Oakley Wine Agencies,Tesco Finest* Touriga Nacional Rosé 2010,Wines of Portugal,L22,67153730,,Tesco Finest* Touriga Nacional Rosé,2010,2011,20102011,2460,4219,0,http://www.tesco.com/wine/product/details/default.aspx?searchBox=067153730&id=267799388,,,,,,,,,,,,,,,,Falua Sociedade de Vinhos,Portugal,Alentejo,Touriga Nacional,,,#N/A,6.99,,,£6.99 ,,£5.94 ,£35.65 ,6.99,6.99,5.2425,5.24,31.44,194.5,386,6,3,,,,,,,,,,,,,,,,,,,,,,,#N/A,0,,
Oakley Wine Agencies,Tesco Finest* Vinho Verde 2010,Wines of Portugal,L22,67202857,,Tesco Finest* Vinho Verde,2010,2011,2010,1872,6994,0,http://www.tesco.com/wine/product/details/default.aspx?searchBox=067202857&id=267931111,,,,,67202857,7.29,5,09/03/2012,10/02/2012,,,,,,,Falua Sociedade de Vinhos,Portugal,Vinho Verde,Loureiro,Trajadura,,#N/A,7.29,7.29,,£6.92 ,£5.00 ,£4.25 ,£25.50 ,6.92,6.92,3.75,3.75,22.5,146.5,287,6,3,,,,,,,,,,,,,,,,,,,,,,,#N/A,0,,
