CompanyName,WineNameVintage,StandName,Lond,product_ref,Note,,SONETTO VINTAGE 10.9.12,SUPPLIER VINTAGE,DAVENTRY VINT CHECK 14.6.12,STOCK 24.8.12,920 Stock 02/08/2012,"On Order
As at 02.08.12",,f10,Stock in Brackmills,Stock on order,FAIR VINTAGE,P9 Promotion,"P9 Was
MB Price","P9 Now
MB Price",P9 Start Date,P9 End Date,"Web Bottle Price
XX.XX.11",New Listing Y_N,On Prom Y_N,Wine By the Case EXC,STILL_ SPK,ORGANIC_ FAIR TRADE_ VEGETARIAN,PRODUCER,COUNTRY,REGION,GRAPE 1,GRAPE 2,GRAPE 3,EXCLUSIVES TO MAIN ESTATE,NORMAL TESCO IN STORE RSP (From CUBE),NORMAL TESCO IN STORE RSP (From P9 Prom),AVAILABLE INSTORE (Y/N),TWC Normal Bott Price,TWC Price / (5%) or Prom Price,TWCF Show Bot Price (15%),TWCF Show Case Price (15%),Jay Was (Hide),Jay Was Roundown,Jay Now (Hide),Jay Now Rounddown,Jay Case,Stock 07/09/2012,Stock 10/09/2012,Case Size,Number of Fairs,ROS per Fair,Total Fair ROS,% Top Up,Min Cs Stk Required,Total Stk Value Required,Stock as of Wed 02_09 AM,Var to Min Req,Karla's Comments,Brandbank EAN _ Image URL,Brandbank Image Live,Brandbank Comment,Finest,NFS 17/10/2011,Stock 7:01 17.10.11,BWS Stock 17.10.11,BWS Held 17.10.11,BWS Orders 17.10.11,,Stock 7:01 19.10.11,BWS Stock 19.10.11,BWS Held 19.10.11,BWS Orders 19.10.11,Nick Exclusive Report,NFS,,
Free Run Wines ,Marques de Chivé Tempranillo Reserva  2007,Free Run Wines ,L10,71925923,,Marques de Chivé Tempranillo Reserva ,2007,2007,2007,744,1277,0,http://www.tesco.com/wine/product/details/default.aspx?searchBox=071925923&id=273897292,,,,,,,,,,,,,,,,Felix Solis,Spain,Valdepeñas,Tempranillo,,,#N/A,0,,,£4.99 ,,£4.24 ,£25.45 ,4.99,4.99,3.7425,3.74,22.44,63.5,124,6,5,,,,,,,,,,,,,,,,,,,,,,,#N/A,0,,
Free Run Wines ,Vina Albali Gran Reserva de Familia 2002,Free Run Wines ,L10,65023300,,Vina Albali Gran Reserva de Familia,2002,2002,2002,4752,,792,http://www.tesco.com/wine/product/details/default.aspx?searchBox=065023300&id=265691691,,,,,,,,,,,,,,,,Felix Solis,Spain,Valdepeñas,Tempranillo,Cabernet Sauvignon,,#N/A,0,Exclusive to Dot Com,N,£10.00 ,,£8.50 ,£51.00 ,10,10,7.5,7.5,45,396,792,6,5,,,,,,,,,,,,,,,,,,,,,,,65023300,1,,
Free Run Wines ,Viña Albali Gran Reserva Valdepeñas 2006,Free Run Wines ,L10,66488030,,Viña Albali Gran Reserva Valdepeñas,2006,2004,2006,26814,,1200,http://www.tesco.com/wine/product/details/default.aspx?searchBox=066488030&id=267195780,,,,,,,,,,,,,,,,Felix Solis,Spain,Valdepeñas,Tempranillo,,,#N/A,0,Exclusive to Dot Com,N,£11.00 ,£5.50 ,£4.68 ,£28.05 ,11,11,5.5,5.5,33,2398.5,4777,6,5,,,,,,,,,,,,,,,,,,,,,,,66488030,0,,j
Free Run Wines ,Waipara Hills Sauvignon Blanc 2011,Free Run Wines ,L10,72023404,,Waipara Hills Sauvignon Blanc,2011,2011,2011,5466,,1680,http://www.tesco.com/wine/product/details/default.aspx?searchBox=072023404&id=274133331,,,,,,,,,,,YES,,,,,Waipara Hills,New Zealand,Marlborough,Sauvignon Blanc,,,#N/A,0,Exclusive to Dot Com,N,£10.00 ,£7.50 ,£6.38 ,£38.25 ,10,10,7.5,7.5,45,409,786,6,5,,,,,,,,,,,,,,,,,,,,,,,72023404,0,,
Brand Phoenix,First Cape Discovery Series Merlot  2011,FirstCape,L11,67828249,,First Cape Discovery Series Merlot ,2011,2011,2011,2616,10206,0,http://www.tesco.com/wine/product/details/default.aspx?searchBox=067828249&id=268573072,,,,,,,,,,,,,,,,Cramele Recas SA,Romania,Southern Region,Merlot,,,#N/A,6.49,,,£6.99 ,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,#N/A,0,,
Brand Phoenix,First Cape Light with Pinot Grigio NV,FirstCape,L11,71313639,,First Cape Light with Pinot Grigio,0,,0,570,6980,0,http://www.tesco.com/wine/product/details/default.aspx?searchBox=071313639&id=272693851,,,,,,,,,,,,,,,,Wein-und Sektkellerei Ostrau GMBH,Italy,,Pinot Grigio,,,#N/A,0,,,£4.99 ,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,#N/A,0,,
Brand Phoenix,First Cape Light with Sauvignon Blanc NV,FirstCape,L11,71312698,,First Cape Light with Sauvignon Blanc,0,,0,1302,5894,0,http://www.tesco.com/wine/product/details/default.aspx?searchBox=071312698&id=272691542,,,,,,,,,,,,,,,,Wein-und Sektkellerei Ostrau GMBH,New Zealand,,Sauvignon Blanc,,,#N/A,0,,,£5.99 ,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,#N/A,0,,
Brand Phoenix,First Cape Light with White Zinfandel NV,FirstCape,L11,71313357,,First Cape Light with White Zinfandel,0,,0,564,4612,0,http://www.tesco.com/wine/product/details/default.aspx?searchBox=071313357&id=272693217,,,,,,,,,,,,,,,,Wein-und Sektkellerei Ostrau GMBH,USA,California,Zinfandel,,,#N/A,0,,,£4.99 ,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,#N/A,0,,
Brand Phoenix,FirstCape First Selection Sauvignon Blanc 2012,FirstCape,L11,59249178,,FirstCape First Selection Sauvignon Blanc,2012,2012,2012,4296,17767,0,http://www.tesco.com/wine/product/details/default.aspx?searchBox=059249178&id=260555141,,,,,59249178,9.99,4.99,09/03/2012,10/02/2012,,,,,,,FirstCape Vineyards,South Africa,Western Cape,Sauvignon Blanc,,,#N/A,9.49,9.99,,£9.49 ,£4.74 ,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,#N/A,0,,
Brand Phoenix,FirstCape First Selection Shiraz 2011,FirstCape,L11,59249157,,FirstCape First Selection Shiraz,2011,2011,2011,4968,2395,0,http://www.tesco.com/wine/product/details/default.aspx?searchBox=059249157&id=260555129,,,,,59249157,9.99,4.99,09/03/2012,10/02/2012,,,,,,,FirstCape Vineyards,South Africa,Western Cape,Shiraz,,,#N/A,9.49,9.99,,£9.49 ,£4.74 ,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,#N/A,0,,
